BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,24/11/2021,6
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,07/12/2021,15
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,21/04/2021,0
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,04/11/2021,72
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,12/01/2021,28
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,07/06/2021,0
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,15/10/2021,70
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,22/12/2021,20
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,28/04/2021,0
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,07/05/2021,380
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,27/10/2021,7
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,12/11/2021,100
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,29/03/2021,5
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,06/04/2021,38
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,16/04/2021,28
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,22/01/2021,6
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,21/10/2021,5
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,13/12/2021,13
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,16/02/2021,35
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,06/10/2021,9
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,12/10/2021,22
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,04/02/2021,9
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,10/02/2021,1
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,22/03/2021,420
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,10/08/2021,3
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,04/03/2021,6
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,12/04/2021,24
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,03/09/2021,23
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,08/11/2021,35
94,Botany Bay,Bayside Council,Kyeemagh Baths,151.1644,-33.95268,18/11/2021,0
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,26/02/2021,19
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,16/04/2021,0
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,21/04/2021,0
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,03/09/2021,2
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,04/03/2021,0
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,12/04/2021,1300
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,06/10/2021,0
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,08/11/2021,39
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,06/01/2021,0
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,18/01/2021,1
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,16/03/2021,0
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,15/10/2021,6
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,18/11/2021,0
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,04/02/2021,16
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,10/02/2021,3
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,22/02/2021,660
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,21/10/2021,0
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,04/11/2021,1
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,29/03/2021,9
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,08/07/2021,1
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,12/10/2021,2
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,22/01/2021,3
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,22/03/2021,280
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,10/08/2021,0
96.1,Botany Bay,Bayside Council,Monterey Baths,151.151732,-33.975049,16/02/2021,1
